RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
TM,4.1,704,36549,484,8372,49694
TM,6.8,980,53410,571,11783,71349
TM,2.9,1392,121605,827,17385,148147
PU,2.1,1672,70392,486,15920,94086
PU,0.2,1967,21439,1671,3616,29856
PU,0.5,2308,89756,429,17982,117190
PR,1.8,810,45921,418,9922,60304
PU,0.9,1061,6903,435,2026,10750
PU,0.6,1758,21039,1479,3990,30009
PU,0.2,1038,23710,935,5928,33788
PR,1.3,1543,82364,535,18798,107541
PU,0.4,1764,7445,1452,2652,13766
PU,0.9,2811,13722,1236,4478,23044
PU,0.6,1199,12565,554,3107,18111
PU,0.3,2628,28876,897,5712,38904
PU,0.3,1433,21222,2158,3232,28656
PU,0.9,2888,27382,2804,5120,39367
PU,1.7,2006,44590,1115,5591,54740
PU,1.1,1188,33240,443,5573,41958
PU,0.6,325,29254,648,3088,34080
PU,1.5,190,14051,257,1540,16289
PU,0.6,1300,24016,2447,4790,33568
PU,0.9,653,30716,786,5191,38121
PU,0.1,2081,13923,2891,3211,23177
PU,2.6,256,17559,328,1768,20095
PU,1.5,2156,25540,1668,4433,34916
PU,0.2,3370,30085,892,6642,43373
PU,1.6,764,19062,1447,2742,24737
PU,2.1,1320,20023,141,4991,27202
PU,1.9,649,23791,831,2363,28276
PU,1.7,1794,12999,1620,3179,20215
PU,0.2,1339,18312,2772,2832,25920
PU,0.1,641,27420,302,5628,35691
PU,0.5,1327,12151,1392,1768,17209
PU,0.8,209,6235,3709,217,10410
PU,1.1,676,11089,1244,1839,15649
PU,2.3,2224,91549,511,18897,121356
PU,2.1,1826,50022,1056,10967,66073
PU,0.5,617,8011,1357,937,11269
PU,0.4,1517,17017,984,4924,24916
PU,0.9,546,13694,392,2510,17484
PU,0.3,945,16876,3351,2852,24679
PU,0.9,885,6784,1766,1500,11240
PU,0.8,197,12065,484,1541,14527
PU,0.4,1467,24275,1149,1961,29393
PU,1,413,10347,1067,1514,13646
PU,0.9,445,12038,924,2484,16344
PU,2.3,140,17813,527,2640,21433
